food_name,protein,iron,vitamin_c,vitamin_d,fiber,category,health_score,vitamin_a,vitamin_b12
sapota,0.4,0.8,14.0,0.0,5.3,fruit,3.7,25.0,0.0
strawberry,0.7,0.4,59.0,0.0,2.0,fruit,3.5,25.0,0.0
sugarcane juice,0.5,0.5,5.0,0.0,0.5,fruit,3.0,25.0,0.0
tender coconut water,0.7,0.3,2.0,0.0,0.5,fruit,3.0,25.0,0.0
watermelon,0.6,0.2,8.0,0.0,0.4,fruit,3.0,25.0,0.0
akki roti,3.5,1.2,2.0,0.0,2.5,grain,3.1,0.0,0.0
aloo paratha,6.0,2.2,4.0,0.0,3.0,grain,3.4,0.0,0.0
amritsari kulcha,7.0,2.5,3.0,0.0,3.0,grain,3.5,0.0,0.0
appam,2.5,0.5,0.0,0.0,1.0,grain,2.7,0.0,0.0
atta flour,12.0,3.9,0.0,0.0,10.0,grain,5.2,0.0,0.0
bajra,11.6,8.0,0.0,0.0,8.5,grain,5.0,0.0,0.0
barley,12.0,3.6,0.0,0.0,17.3,grain,6.3,0.0,0.0
basmati rice,2.6,0.2,0.0,0.0,0.5,grain,2.6,0.0,0.0
biryani,6.0,2.0,2.0,0.0,2.0,grain,3.3,0.0,0.0
bisibele bath,5.0,1.8,6.0,0.0,3.5,grain,3.4,0.0,0.0
bread,8.0,3.6,0.0,0.0,2.7,grain,3.6,0.0,0.0
bread pakora,5.0,2.0,2.0,0.0,2.0,grain,3.2,0.0,0.0
bread upma,4.5,1.5,4.0,0.0,2.5,grain,3.2,0.0,0.0
brown bread,9.0,3.8,0.0,0.0,4.0,grain,3.9,0.0,0.0
brown rice,2.6,0.4,0.0,0.0,1.8,grain,2.8,0.0,0.0
butter naan,6.0,2.5,0.0,2.0,2.0,grain,3.3,50.0,0.4
chapati,3.1,1.5,0.0,0.0,2.7,grain,3.1,0.0,0.0
cheese burst pizza,14.0,2.5,5.0,4.0,2.5,grain,4.2,50.0,0.4
cheese nachos,8.0,2.0,4.0,3.0,2.5,grain,3.6,50.0,0.4
cheese pasta,10.0,2.0,4.0,3.0,2.5,grain,3.8,50.0,0.4
cheese pizza,12.0,2.5,4.0,3.0,2.5,grain,4.0,50.0,0.4
chicken biryani,10.0,2.5,2.0,0.0,2.0,grain,3.7,0.0,1.1
coconut rice,3.5,1.5,2.0,0.0,2.5,grain,3.1,0.0,0.0
corn,3.4,0.5,6.0,0.0,2.4,grain,3.0,0.0,0.0
curd quinoa,6.0,1.5,2.0,1.5,3.0,grain,3.4,50.0,0.4
curd rice,3.5,0.5,2.0,1.5,1.0,grain,2.8,50.0,0.4
curd semiya,3.5,0.5,2.0,1.5,1.5,grain,2.9,50.0,0.4
dabeli,6.0,2.5,5.0,0.0,3.0,grain,3.4,0.0,0.0
dal khichdi,5.5,1.8,4.0,0.0,3.0,grain,3.4,0.0,0.0
dal paratha,6.0,2.5,2.0,0.0,3.5,grain,3.5,0.0,0.0
dhokla,6.0,2.0,2.0,0.0,2.5,grain,3.3,0.0,0.0
dosa,3.5,1.1,0.0,0.0,1.0,grain,2.8,0.0,0.0
double cheese burger,15.0,3.0,4.0,4.0,2.5,grain,4.3,50.0,0.4
egg dosa,6.0,1.5,2.0,1.5,1.2,grain,3.1,140.0,0.8
egg fried noodles,7.0,1.8,2.0,1.0,2.0,grain,3.4,140.0,0.8
egg fried rice,7.0,1.8,2.0,0.0,1.8,grain,3.3,140.0,0.8
fafda,6.0,2.5,1.0,0.0,2.0,grain,3.3,0.0,0.0
frankie,7.0,2.0,4.0,0.0,2.5,grain,3.5,0.0,0.0
fried rice,5.0,1.5,2.0,0.0,1.8,grain,3.1,0.0,0.0
garlic naan,6.5,2.5,2.0,0.0,2.0,grain,3.3,0.0,0.0
gobi paratha,5.0,2.0,6.0,0.0,3.5,grain,3.4,0.0,0.0
grilled sandwich,7.0,2.0,6.0,0.0,3.0,grain,3.5,0.0,0.0
handvo,7.0,3.0,6.0,0.0,4.5,grain,3.8,0.0,0.0
idiyappam,2.5,0.5,0.0,0.0,1.0,grain,2.7,0.0,0.0
idli,2.5,0.4,0.0,0.0,0.9,grain,2.7,0.0,0.0
jeera rice,3.0,0.5,2.0,0.0,1.0,grain,2.8,0.0,0.0
jowar,10.0,4.1,0.0,0.0,6.7,grain,4.4,0.0,0.0
kachori,6.0,2.5,2.0,0.0,3.0,grain,3.4,0.0,0.0
kashmiri pulao,5.5,1.7,10.0,0.0,3.0,grain,3.4,0.0,0.0
khandvi,5.0,1.5,2.0,0.0,2.0,grain,3.2,0.0,0.0
khichdi,4.5,1.5,3.0,0.0,2.5,grain,3.2,0.0,0.0
kulcha,6.0,2.0,0.0,0.0,2.0,grain,3.3,0.0,0.0
lachha paratha,5.0,2.0,0.0,0.0,2.5,grain,3.2,0.0,0.0
lemon rice,3.0,0.6,8.0,0.0,1.2,grain,2.8,0.0,0.0
makki di roti,4.0,1.5,0.0,0.0,3.0,grain,3.2,0.0,0.0
masala dosa,5.0,1.5,2.0,0.0,2.0,grain,3.2,0.0,0.0
masala khichdi,6.0,2.0,5.0,0.0,3.5,grain,3.5,0.0,0.0
masala oats,6.0,2.5,5.0,0.0,4.5,grain,3.7,0.0,0.0
medu vada,6.0,2.0,2.0,0.0,3.0,grain,3.4,0.0,0.0
methi paratha,5.0,2.0,5.0,0.0,3.5,grain,3.4,450.0,0.0
millet,11.0,3.0,0.0,0.0,8.5,grain,4.8,0.0,0.0
missi roti,5.0,2.0,0.0,0.0,3.5,grain,3.4,0.0,0.0
moong dal khichdi,5.0,1.5,3.0,0.0,3.0,grain,3.3,0.0,0.0
multi grain dosa,5.5,2.5,2.0,0.0,3.5,grain,3.5,0.0,0.0
mushroom pulao,6.0,1.5,5.0,2.0,2.5,grain,3.3,0.0,0.0
naan,6.0,2.5,0.0,0.0,2.0,grain,3.3,0.0,0.0
neer dosa,2.5,0.5,0.0,0.0,0.5,grain,2.6,0.0,0.0
noodles,6.0,1.5,1.0,0.0,2.0,grain,3.2,0.0,0.0
oatmeal,11.0,4.5,0.0,0.0,9.0,grain,4.9,0.0,0.0
oats,13.2,4.7,0.0,0.0,10.6,grain,5.4,0.0,0.0
oats idli,5.0,1.8,3.0,0.0,3.5,grain,3.4,0.0,0.0
oats upma,5.5,2.0,6.0,0.0,4.0,grain,3.5,0.0,0.0
onion uttapam,4.5,1.2,5.0,0.0,2.5,grain,3.2,0.0,0.0
paratha,5.0,2.0,0.0,0.0,3.0,grain,3.3,0.0,0.0
peas pulao,5.0,1.6,8.0,0.0,3.0,grain,3.3,0.0,0.0
pesarattu,6.0,2.0,2.0,0.0,2.5,grain,3.3,0.0,0.0
phulka,3.0,1.2,0.0,0.0,2.5,grain,3.0,0.0,0.0
poha,3.0,0.7,1.0,0.0,2.0,grain,2.9,0.0,0.0
pongal,5.0,1.5,2.0,0.0,2.0,grain,3.2,0.0,0.0
puttu,3.0,1.0,0.0,0.0,2.0,grain,2.9,0.0,0.0
quinoa,14.0,4.6,0.0,0.0,7.0,grain,4.9,0.0,0.0
ragi,7.3,3.9,0.0,0.0,3.6,grain,3.7,0.0,0.0
ragi dosa,4.5,2.0,2.0,0.0,3.0,grain,3.3,0.0,0.0
ragi mudde,7.0,3.0,0.0,0.0,3.5,grain,3.6,0.0,0.0
rava dosa,4.0,1.2,1.0,0.0,1.5,grain,3.0,0.0,0.0
red rice,2.8,0.5,0.0,0.0,2.0,grain,2.9,0.0,0.0
red sauce pasta,7.0,2.0,6.0,0.0,2.5,grain,3.5,0.0,0.0
rice,2.7,0.2,0.0,0.0,0.4,grain,2.6,0.0,0.0
roomali roti,3.0,1.0,0.0,0.0,1.5,grain,2.8,0.0,0.0
sabudana khichdi,3.0,1.0,2.0,0.0,1.5,grain,2.9,0.0,0.0
samosa,5.0,1.5,2.0,0.0,2.0,grain,3.2,0.0,0.0
schezwan fried rice,6.0,2.0,5.0,0.0,2.5,grain,3.4,0.0,0.0
schezwan noodles,6.0,2.0,4.0,0.0,2.5,grain,3.4,0.0,0.0
set dosa,3.5,1.0,1.0,0.0,1.2,grain,2.9,0.0,0.0
tamarind rice,3.2,0.7,6.0,0.0,1.5,grain,2.9,0.0,0.0
thepla,4.0,1.2,3.0,0.0,2.5,grain,3.1,0.0,0.0
tomato uttapam,4.5,1.2,7.0,0.0,2.5,grain,3.2,40.0,0.0
upma,4.0,1.0,2.0,0.0,2.0,grain,3.0,0.0,0.0
vada pav,6.0,2.0,2.0,0.0,2.5,grain,3.3,0.0,0.0
veg biryani,5.5,2.0,3.0,0.0,3.0,grain,3.4,30.0,0.0
veg biryani hyderabadi,6.0,2.0,5.0,0.0,3.0,grain,3.4,30.0,0.0
veg burger,8.0,2.0,4.0,0.0,3.0,grain,3.6,50.0,0.4
veg burger deluxe,9.0,2.0,5.0,0.0,3.0,grain,3.7,50.0,0.4
veg club sandwich,7.0,2.0,5.0,0.0,3.0,grain,3.5,30.0,0.0
veg fried momos,6.0,1.5,6.0,0.0,2.5,grain,3.4,30.0,0.0
veg fried rice,4.5,1.5,3.0,0.0,2.0,grain,3.1,30.0,0.0
veg fried rice chinese,5.0,1.5,5.0,0.0,2.0,grain,3.2,30.0,0.0
veg hakka noodles,5.0,1.5,5.0,0.0,2.5,grain,3.2,30.0,0.0
veg hot dog,8.0,2.0,4.0,0.0,2.5,grain,3.6,30.0,0.0
veg lasagna,9.0,2.5,6.0,2.0,3.0,grain,3.8,50.0,0.4
veg macaroni,6.0,2.0,5.0,0.0,2.5,grain,3.4,30.0,0.0
veg momos,5.0,1.5,6.0,0.0,2.0,grain,3.2,30.0,0.0
veg nachos,6.0,2.0,5.0,0.0,2.5,grain,3.4,30.0,0.0
veg noodles,5.0,1.4,3.0,0.0,2.5,grain,3.2,30.0,0.0
veg noodles chinese,5.0,1.5,5.0,0.0,2.5,grain,3.2,30.0,0.0
veg pasta,6.0,2.0,5.0,0.0,2.5,grain,3.4,30.0,0.0
veg pizza,10.0,2.5,5.0,2.0,3.0,grain,3.9,50.0,0.4
veg pizza deluxe,11.0,2.5,6.0,2.0,3.0,grain,4.0,50.0,0.4
veg puff,5.0,1.5,3.0,0.0,2.5,grain,3.2,30.0,0.0
veg pulao masala,5.5,1.8,7.0,0.0,2.5,grain,3.3,30.0,0.0
veg quesadilla,9.0,2.5,5.0,2.0,3.0,grain,3.8,30.0,0.0
veg roll,6.0,1.8,6.0,0.0,3.0,grain,3.4,30.0,0.0
veg sandwich,6.0,2.0,8.0,0.0,3.5,grain,3.5,30.0,0.0
veg shawarma,8.0,2.0,5.0,0.0,3.0,grain,3.6,30.0,0.0
veg spring roll,5.0,1.5,6.0,0.0,2.5,grain,3.2,30.0,0.0
veg steamed momos,5.0,1.5,6.0,0.0,2.0,grain,3.2,30.0,0.0
veg taco,7.0,2.0,6.0,0.0,3.0,grain,3.5,30.0,0.0
veg tehri,5.0,1.5,6.0,0.0,2.5,grain,3.2,30.0,0.0
veg wrap,7.0,2.0,5.0,0.0,3.0,grain,3.5,30.0,0.0
vegetable khichdi,5.5,1.6,5.0,0.0,3.5,grain,3.5,30.0,0.0
vegetable pulao,4.5,1.2,10.0,0.0,2.5,grain,3.2,30.0,0.0
vegetable quinoa,7.0,2.0,8.0,0.0,4.0,grain,3.7,30.0,0.0
vegetable uttapam,5.0,1.5,6.0,0.0,3.0,grain,3.3,30.0,0.0
ven pongal,5.0,1.5,2.0,0.0,2.0,grain,3.2,0.0,0.0
vermicelli upma,4.0,1.0,3.0,0.0,2.0,grain,3.0,0.0,0.0
wheat,13.0,3.6,0.0,0.0,12.2,grain,5.6,0.0,0.0
white sauce pasta,8.0,2.0,4.0,2.0,2.5,grain,3.6,0.0,0.0
whole wheat bread,11.0,3.9,0.0,0.0,6.0,grain,4.4,0.0,0.0
adai dosa,7.0,3.0,2.0,0.0,4.5,legume,4.3,0.0,0.0
black beans,21.0,5.0,3.0,0.0,15.0,legume,7.4,0.0,0.0
black chana curry,9.0,3.5,5.0,0.0,6.0,legume,4.8,30.0,0.0
boiled peanuts,13.0,2.5,0.0,0.0,8.0,legume,5.4,0.0,0.0
chana chaat,9.0,4.0,10.0,0.0,6.0,legume,4.8,0.0,0.0
chana masala,10.0,4.0,6.0,0.0,10.0,legume,5.5,0.0,0.0
chickpeas,19.0,6.2,2.0,0.0,17.0,legume,7.5,0.0,0.0
chole,18.0,6.0,3.0,0.0,15.0,legume,7.1,0.0,0.0
chole bhature,10.0,4.5,4.0,0.0,5.0,legume,4.7,0.0,0.0
dal,9.0,3.0,2.0,0.0,6.0,legume,4.7,0.0,0.0
dal fry,8.0,2.5,4.0,0.0,5.0,legume,4.5,0.0,0.0
dal makhani,9.0,3.0,5.0,1.0,6.0,legume,4.7,0.0,0.0
dal tadka,8.0,2.5,4.0,0.0,5.0,legume,4.5,0.0,0.0
falafel,8.0,3.0,4.0,0.0,5.0,legume,4.5,0.0,0.0
falafel wrap,9.0,3.0,4.0,0.0,4.0,legume,4.4,0.0,0.0
green gram,7.0,2.5,2.0,0.0,7.0,legume,4.7,450.0,0.0
hummus,7.0,2.5,3.0,0.0,4.0,legume,4.2,0.0,0.0
kadala curry,8.0,3.5,4.0,0.0,6.0,legume,4.6,30.0,0.0
kidney beans,24.0,8.2,4.0,0.0,25.0,legume,9.3,0.0,0.0
lentil soup,6.0,2.5,5.0,0.0,4.0,legume,4.1,30.0,0.0
lobia curry,9.0,3.5,4.0,0.0,7.0,legume,4.9,30.0,0.0
masala peanuts,25.0,4.5,2.0,0.0,8.5,legume,6.8,0.0,0.0
masoor dal,9.0,3.3,4.0,0.0,8.0,legume,5.1,0.0,0.0
misal pav,7.0,3.0,10.0,0.0,4.0,legume,4.3,0.0,0.0
moong dal,7.0,2.5,2.0,0.0,7.0,legume,4.7,0.0,0.0
moong sprouts,7.0,2.5,15.0,0.0,4.0,legume,4.3,0.0,0.0
peanut chutney,6.0,2.0,2.0,0.0,3.0,legume,3.9,0.0,0.0
peanuts,26.0,4.6,0.0,0.0,8.5,legume,6.9,0.0,0.0
ragda patties,6.0,2.5,5.0,0.0,4.0,legume,4.1,0.0,0.0
rajma,24.0,8.2,4.0,0.0,25.0,legume,9.3,0.0,0.0
rajma curry,11.0,5.0,5.0,0.0,8.0,legume,5.3,30.0,0.0
roasted chana,20.0,6.0,0.0,0.0,15.0,legume,7.3,0.0,0.0
roasted peanuts,26.0,4.5,0.0,0.0,8.5,legume,6.9,0.0,0.0
sambar,4.0,1.2,6.0,0.0,2.5,legume,3.7,0.0,0.0
soybean,36.0,15.7,6.0,0.0,9.0,legume,8.3,0.0,0.0
soybean curry,36.0,15.0,6.0,0.0,9.0,legume,8.3,30.0,0.0
sprout chaat,7.0,2.5,18.0,0.0,4.0,legume,4.3,0.0,0.0
sprouts salad,7.0,2.5,15.0,0.0,4.0,legume,4.3,0.0,0.0
tadka dal,8.5,2.8,4.0,0.0,5.5,legume,4.6,0.0,0.0
toor dal,9.0,3.0,2.0,0.0,6.0,legume,4.7,0.0,0.0
urad dal,25.0,7.6,0.0,0.0,18.0,legume,8.3,0.0,0.0
white beans,21.0,6.0,2.0,0.0,13.0,legume,7.1,0.0,0.0
white chana curry,9.0,3.5,5.0,0.0,6.0,legume,4.8,30.0,0.0
dal rice,8.0,3.0,2.0,0.0,4.5,meal,3.9,0.0,0.0
roti sabzi,6.5,2.5,12.0,0.0,5.0,meal,3.8,0.0,0.0
south indian thali,12.0,4.0,15.0,1.5,6.0,meal,4.6,0.0,0.0
veg thali,15.0,5.0,25.0,2.0,8.0,meal,5.3,30.0,0.0
besan ladoo,6.0,2.0,0.0,1.5,2.0,other,3.3,0.0,0.0
bhel puri,4.0,1.2,6.0,0.0,3.0,other,3.2,0.0,0.0
biscuit,5.0,1.0,0.0,0.0,1.5,other,2.3,0.0,0.0
boondi raita,4.0,0.8,3.0,1.5,1.5,other,3.0,0.0,0.0
buttermilk masala,3.0,0.1,2.0,1.5,0.0,other,2.6,50.0,0.4
chocolate cake,4.0,2.0,0.0,0.5,1.0,other,2.9,0.0,0.0
coconut chutney,2.5,1.5,2.0,0.0,3.0,other,3.0,0.0,0.0
curd curry,3.0,0.5,3.0,2.0,1.0,other,2.8,50.0,0.4
curry leaves chutney,1.5,1.2,10.0,0.0,2.0,other,2.8,30.0,0.0
dahi puri,5.5,2.0,6.0,1.5,3.0,other,3.4,0.0,0.0
date tamarind chutney,1.5,1.5,12.0,0.0,2.0,other,2.8,0.0,0.0
falooda,4.0,1.0,2.0,1.5,1.0,other,2.9,0.0,0.0
ginger garlic chutney,2.0,1.0,8.0,0.0,2.0,other,2.9,0.0,0.0
green chilli chutney,1.5,1.0,15.0,0.0,2.0,other,2.8,450.0,0.0
gulab jamun,4.0,1.0,0.0,1.0,0.0,other,2.7,0.0,0.0
halwa,3.0,1.0,1.0,1.0,1.0,other,2.8,0.0,0.0
ice cream chocolate,4.0,0.5,0.0,2.0,0.0,other,2.7,50.0,0.4
ice cream vanilla,3.5,0.1,0.0,2.0,0.0,other,2.6,50.0,0.4
jalebi,3.0,1.0,0.0,0.0,0.5,other,2.7,0.0,0.0
jaljeera,1.0,0.5,8.0,0.0,1.0,other,2.6,0.0,0.0
kadhi pakora,5.0,1.5,4.0,2.0,1.5,other,3.1,0.0,0.0
kheer,4.0,0.5,1.0,2.0,0.0,other,2.7,50.0,0.4
kulfi,5.0,0.5,0.0,3.0,0.0,other,2.8,0.0,0.4
lassi,3.0,0.1,2.0,2.0,0.0,other,2.6,50.0,0.4
lemon soda,0.2,0.1,10.0,0.0,0.0,other,2.4,0.0,0.0
maggi noodles,7.0,3.5,0.0,0.0,1.0,other,2.5,0.0,0.0
milk chocolate,7.0,1.5,0.0,0.5,2.0,other,3.3,50.0,0.4
milk tea,2.5,0.1,0.0,1.5,0.0,other,2.5,50.0,0.4
mint chutney,1.5,0.8,20.0,0.0,1.5,other,2.8,450.0,0.0
motichoor ladoo,4.0,1.5,0.0,1.0,1.5,other,3.0,0.0,0.0
mysore pak,4.0,1.0,0.0,2.0,1.0,other,2.9,0.0,0.0
onion raita,3.0,0.5,5.0,1.5,1.0,other,2.8,0.0,0.0
pani puri,3.0,1.0,5.0,0.0,2.0,other,2.9,0.0,0.0
pastry,3.5,1.2,0.0,0.0,0.5,other,2.0,0.0,0.0
payasam,4.0,0.5,1.0,2.0,0.0,other,2.7,0.0,0.0
potato chips,6.0,1.5,15.0,0.0,3.0,other,3.5,0.0,0.0
ragda pattice,5.0,2.0,6.0,0.0,3.0,other,3.3,0.0,0.0
rasam,2.0,0.8,10.0,0.0,1.5,other,2.8,0.0,0.0
rasgulla,3.5,0.5,0.0,1.0,0.0,other,2.7,0.0,0.0
rasmalai,5.0,0.5,0.0,2.0,0.0,other,2.8,0.0,0.0
rava ladoo,4.0,1.5,0.0,0.0,1.5,other,3.0,0.0,0.0
red chilli chutney,1.5,1.0,12.0,0.0,2.0,other,2.8,40.0,0.0
salted lassi,3.0,0.1,2.0,2.0,0.0,other,2.6,50.0,0.4
semiya payasam,4.0,0.5,1.0,2.0,1.0,other,2.9,0.0,0.0
sev puri,4.0,1.5,5.0,0.0,2.5,other,3.1,0.0,0.0
soan papdi,4.0,1.0,0.0,1.5,1.0,other,2.9,0.0,0.0
sweet lassi,3.0,0.1,2.0,2.0,0.0,other,2.6,50.0,0.4
tamarind chutney,1.0,1.2,10.0,0.0,1.5,other,2.7,0.0,0.0
tomato chutney,2.0,1.0,15.0,0.0,2.0,other,2.9,40.0,0.0
veg raita,3.5,0.5,4.0,1.5,1.0,other,2.8,30.0,0.0
anda curry,13.0,2.2,3.0,2.0,1.0,protein,3.8,140.0,0.6
andhra chicken curry,25.0,1.5,3.0,1.0,1.0,protein,5.1,30.0,1.1
boiled egg,13.0,1.8,0.0,2.0,0.0,protein,3.7,140.0,0.8
butter chicken,22.0,1.8,3.0,3.0,0.5,protein,4.7,50.0,1.1
cheese sandwich,9.0,1.5,2.0,3.0,2.0,protein,3.6,50.0,0.4
chettinad chicken,26.0,1.5,3.0,1.0,1.0,protein,5.2,0.0,1.1
chicken,27.0,1.3,0.0,1.0,0.0,protein,5.1,0.0,1.1
chicken biryani hyderabadi,12.0,2.5,3.0,1.0,2.5,protein,4.0,0.0,1.1
chicken burger,15.0,2.5,2.0,1.0,2.5,protein,4.3,50.0,1.1
chicken burger deluxe,18.0,3.0,3.0,2.0,2.5,protein,4.6,50.0,1.1
chicken chilli,14.0,2.0,4.0,1.0,2.5,protein,4.2,40.0,1.1
chicken clear soup,6.0,1.5,2.0,1.0,0.5,protein,3.0,30.0,1.1
chicken club sandwich,15.0,2.0,3.0,1.0,2.5,protein,4.3,0.0,1.1
chicken curry,25.0,1.5,4.0,1.0,1.0,protein,5.1,30.0,1.1
chicken curry south indian,25.0,1.5,4.0,1.0,1.0,protein,5.1,30.0,1.1
chicken fried momos,10.0,2.0,3.0,1.0,2.5,protein,3.8,0.0,1.1
chicken fried rice chinese,10.0,2.0,3.0,1.0,2.0,protein,3.7,0.0,1.1
chicken fry south indian,27.0,1.5,3.0,1.0,1.0,protein,5.3,0.0,1.1
chicken hot dog,14.0,2.5,3.0,1.0,2.5,protein,4.2,0.0,1.1
chicken kebab,26.0,1.5,2.0,1.0,0.5,protein,5.1,0.0,1.1
chicken korma,20.0,1.7,4.0,2.0,1.0,protein,4.6,0.0,1.1
chicken lasagna,12.0,2.5,4.0,2.0,3.0,protein,4.1,50.0,1.1
chicken macaroni,11.0,2.0,3.0,1.0,2.5,protein,3.9,0.0,1.1
chicken manchurian,14.0,2.0,3.0,1.0,2.5,protein,4.2,0.0,1.1
chicken masala,24.0,1.6,3.0,1.5,1.0,protein,5.0,0.0,1.1
chicken momos,10.0,2.0,2.0,1.0,2.0,protein,3.7,0.0,1.1
chicken nachos,12.0,2.5,3.0,2.0,2.5,protein,4.0,0.0,1.1
chicken noodles,10.0,2.0,2.0,1.0,2.0,protein,3.7,0.0,1.1
chicken noodles chinese,10.0,2.0,3.0,1.0,2.5,protein,3.8,0.0,1.1
chicken pasta,12.0,2.0,3.0,1.0,2.5,protein,4.0,0.0,1.1
chicken pizza,15.0,3.0,3.0,2.0,2.5,protein,4.3,50.0,1.1
